Story,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [7],AI [7]
18.0,Galaxy 4,"""Four Hundred Dawns""†",Derek Martinus,William Emms,11 September 1965,T,9.0,56.0
18.0,Galaxy 4,"""Trap of Steel""†",Derek Martinus,William Emms,18 September 1965,T,9.5,55.0
18.0,Galaxy 4,"""Air Lock""",Derek Martinus,William Emms,25 September 1965,T,11.3,54.0
18.0,Galaxy 4,"""The Exploding Planet""†",Derek Martinus,William Emms,2 October 1965,T,9.9,53.0
19.0,"""Mission to the Unknown""†",,Derek Martinus,Terry Nation,9 October 1965,T/A,8.3,54.0
20.0,The Myth Makers,"""Temple of Secrets""†",Michael Leeston-Smith,Donald Cotton,16 October 1965,U,8.3,48.0
20.0,The Myth Makers,"""Small Prophet, Quick Return""†",Michael Leeston-Smith,Donald Cotton,23 October 1965,U,8.1,51.0
20.0,The Myth Makers,"""Death of a Spy""†",Michael Leeston-Smith,Donald Cotton,30 October 1965,U,8.7,49.0
20.0,The Myth Makers,"""Horse of Destruction""†",Michael Leeston-Smith,Donald Cotton,6 November 1965,U,8.3,52.0
21.0,The Daleks' Master Plan,"""The Nightmare Begins""†",Douglas Camfield,Terry Nation,13 November 1965,V,9.1,54.0
21.0,The Daleks' Master Plan,"""Day of Armageddon""",Douglas Camfield,Terry Nation,20 November 1965,V,9.8,52.0
21.0,The Daleks' Master Plan,"""Devil's Planet""†",Douglas Camfield,Terry Nation,27 November 1965,V,10.3,52.0
21.0,The Daleks' Master Plan,"""The Traitors""†",Douglas Camfield,Terry Nation,4 December 1965,V,9.5,51.0
21.0,The Daleks' Master Plan,"""Counter Plot""",Douglas Camfield,Terry Nation,11 December 1965,V,9.9,53.0
21.0,The Daleks' Master Plan,"""Coronas of the Sun""†",Douglas Camfield,Dennis Spooner,18 December 1965,V,9.1,56.0
21.0,The Daleks' Master Plan,"""The Feast of Steven""†",Douglas Camfield,Terry Nation,25 December 1965,V,7.9,39.0
21.0,The Daleks' Master Plan,"""Volcano""†",Douglas Camfield,Dennis Spooner,1 January 1966,V,9.6,49.0
21.0,The Daleks' Master Plan,"""Golden Death""†",Douglas Camfield,Dennis Spooner,8 January 1966,V,9.2,52.0
21.0,The Daleks' Master Plan,"""Escape Switch""",Douglas Camfield,Dennis Spooner,15 January 1966,V,9.5,50.0
21.0,The Daleks' Master Plan,"""The Abandoned Planet""†",Douglas Camfield,Dennis Spooner,22 January 1966,V,9.8,49.0
21.0,The Daleks' Master Plan,"""Destruction of Time""†",Douglas Camfield,Dennis Spooner,29 January 1966,V,8.6,57.0
22.0,The Massacre of St Bartholomew's Eve,"""War of God""†",Paddy Russell,John Lucarotti,5 February 1966,W,8.0,52.0
22.0,The Massacre of St Bartholomew's Eve,"""The Sea Beggar""†",Paddy Russell,John Lucarotti,12 February 1966,W,6.0,52.0
22.0,The Massacre of St Bartholomew's Eve,"""Priest of Death""†",Paddy Russell,John Lucarotti,19 February 1966,W,5.9,49.0
22.0,The Massacre of St Bartholomew's Eve,"""Bell of Doom""†",Paddy Russell,John Lucarotti and Donald Tosh,26 February 1966,W,5.8,53.0
23.0,The Ark,"""The Steel Sky""",Michael Imison,Paul Erickson and Lesley Scott,5 March 1966,X,5.5,55.0
23.0,The Ark,"""The Plague""",Michael Imison,Paul Erickson and Lesley Scott,12 March 1966,X,6.9,56.0
23.0,The Ark,"""The Return""",Michael Imison,Paul Erickson and Lesley Scott,19 March 1966,X,6.2,51.0
23.0,The Ark,"""The Bomb""",Michael Imison,Paul Erickson and Lesley Scott,26 March 1966,X,7.3,50.0
24.0,The Celestial Toymaker,"""The Celestial Toyroom""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),2 April 1966,Y,8.0,48.0
24.0,The Celestial Toymaker,"""The Hall of Dolls""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),9 April 1966,Y,8.0,49.0
24.0,The Celestial Toymaker,"""The Dancing Floor""†",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),16 April 1966,Y,9.4,44.0
24.0,The Celestial Toymaker,"""The Final Test""",Bill Sellars,Brian Hayles and Donald Tosh (uncredited),23 April 1966,Y,7.8,43.0
25.0,The Gunfighters,"""A Holiday for the Doctor""",Rex Tucker,Donald Cotton,30 April 1966,Z,6.5,45.0
25.0,The Gunfighters,"""Don't Shoot the Pianist""",Rex Tucker,Donald Cotton,7 May 1966,Z,6.6,39.0
25.0,The Gunfighters,"""Johnny Ringo""",Rex Tucker,Donald Cotton,14 May 1966,Z,6.2,36.0
25.0,The Gunfighters,"""The O.K. Corral""",Rex Tucker,Donald Cotton,21 May 1966,Z,5.7,30.0
26.0,The Savages,"""Episode 1""†",Christopher Barry,Ian Stuart Black,28 May 1966,AA,4.8,48.0
26.0,The Savages,"""Episode 2""†",Christopher Barry,Ian Stuart Black,4 June 1966,AA,5.6,49.0
26.0,The Savages,"""Episode 3""†",Christopher Barry,Ian Stuart Black,11 June 1966,AA,5.0,48.0
26.0,The Savages,"""Episode 4""†",Christopher Barry,Ian Stuart Black,18 June 1966,AA,4.5,48.0
27.0,The War Machines,"""Episode 1""",Michael Ferguson,Ian Stuart Black,25 June 1966,BB,5.4,49.0
27.0,The War Machines,"""Episode 2""",Michael Ferguson,Ian Stuart Black,2 July 1966,BB,4.7,45.0
27.0,The War Machines,"""Episode 3""",Michael Ferguson,Ian Stuart Black,9 July 1966,BB,5.3,44.0
27.0,The War Machines,"""Episode 4""",Michael Ferguson,Ian Stuart Black,16 July 1966,BB,5.5,39.0
28.0,The Smugglers,"""Episode 1""†",Julia Smith,Brian Hayles,10 September 1966,CC,4.3,47.0
28.0,The Smugglers,"""Episode 2""†",Julia Smith,Brian Hayles,17 September 1966,CC,4.9,45.0
28.0,The Smugglers,"""Episode 3""†",Julia Smith,Brian Hayles,24 September 1966,CC,4.2,43.0
28.0,The Smugglers,"""Episode 4""†",Julia Smith,Brian Hayles,1 October 1966,CC,4.5,43.0
29.0,The Tenth Planet,"""Episode 1""",Derek Martinus,Kit Pedler,8 October 1966,DD,5.5,50.0
29.0,The Tenth Planet,"""Episode 2""",Derek Martinus,Kit Pedler,15 October 1966,DD,6.4,48.0
29.0,The Tenth Planet,"""Episode 3""",Derek Martinus,Kit Pedler and Gerry Davis,22 October 1966,DD,7.6,48.0
29.0,The Tenth Planet,"""Episode 4""†",Derek Martinus,Kit Pedler and Gerry Davis,29 October 1966,DD,7.5,47.0
30.0,The Power of the Daleks,"""Episode One""†",Christopher Barry,David Whitaker,5 November 1966,EE,7.9,43.0
30.0,The Power of the Daleks,"""Episode Two""†",Christopher Barry,David Whitaker,12 November 1966,EE,7.8,45.0
30.0,The Power of the Daleks,"""Episode Three""†",Christopher Barry,David Whitaker,19 November 1966,EE,7.5,44.0
30.0,The Power of the Daleks,"""Episode Four""†",Christopher Barry,David Whitaker,26 November 1966,EE,7.8,47.0
30.0,The Power of the Daleks,"""Episode Five""†",Christopher Barry,David Whitaker,3 December 1966,EE,8.0,48.0
30.0,The Power of the Daleks,"""Episode Six""†",Christopher Barry,David Whitaker,10 December 1966,EE,7.8,47.0
31.0,The Highlanders,"""Episode 1""†",Hugh David,Elwyn Jones and Gerry Davis,17 December 1966,FF,6.7,47.0
31.0,The Highlanders,"""Episode 2""†",Hugh David,Elwyn Jones and Gerry Davis,24 December 1966,FF,6.8,46.0
31.0,The Highlanders,"""Episode 3""†",Hugh David,Elwyn Jones and Gerry Davis,31 December 1966,FF,7.4,47.0
31.0,The Highlanders,"""Episode 4""†",Hugh David,Elwyn Jones and Gerry Davis,7 January 1967,FF,7.3,47.0
32.0,The Underwater Menace,"""Episode 1""†",Julia Smith,Geoffrey Orme,14 January 1967,GG,8.3,48.0
32.0,The Underwater Menace,"""Episode 2""",Julia Smith,Geoffrey Orme,21 January 1967,GG,7.5,46.0
32.0,The Underwater Menace,"""Episode 3""",Julia Smith,Geoffrey Orme,28 January 1967,GG,7.1,45.0
32.0,The Underwater Menace,"""Episode 4""†",Julia Smith,Geoffrey Orme,4 February 1967,GG,7.0,47.0
33.0,The Moonbase,"""Episode 1""†",Morris Barry,Kit Pedler,11 February 1967,HH,8.1,50.0
33.0,The Moonbase,"""Episode 2""",Morris Barry,Kit Pedler,18 February 1967,HH,8.9,49.0
33.0,The Moonbase,"""Episode 3""†",Morris Barry,Kit Pedler,25 February 1967,HH,8.2,53.0
